iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
MAC,Asia,Macao,2021-11-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,906441.0,482017.0,427325.0,,2921.0,3552.0,137.68,73.21,64.9,,5395.0,666.0,0.101,32.41,658391.0,20546.766,39.2,9.798,4.991,104861.851,,,,,,,,84.24,,,,,
MDG,Africa,Madagascar,2021-11-27,44072.0,0.0,57.143,967.0,0.0,0.429,1550.339,0.0,2.01,34.017,0.0,0.015,0.06,,,,,,,,,,,,,,,,,,625884.0,473726.0,425211.0,,,3323.0,2.2,1.67,1.5,,117.0,3756.0,0.013,,28427333.0,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04,0.528,,,,
MWI,Africa,Malawi,2021-11-27,61889.0,3.0,3.714,2304.0,0.0,0.0,3149.939,0.153,0.189,117.266,0.0,0.0,0.85,,,,,,,,,,,,,,,,,,1373921.0,1100295.0,594360.0,,20442.0,7490.0,6.99,5.6,3.03,,381.0,6972.0,0.035,44.44,19647681.0,197.519,18.1,2.979,1.783,1095.042,71.4,227.349,3.94,4.4,24.7,8.704,1.3,64.26,0.483,,,,
MYS,Asia,Malaysia,2021-11-27,2619577.0,5097.0,5404.286,30280.0,40.0,43.143,79923.158,155.509,164.884,923.841,1.22,1.316,1.0,510.0,15.56,4250.0,129.667,,,,,140860.0,37451278.0,1142.637,4.298,123336.0,3.763,0.046,21.8,people tested,53108874.0,25795888.0,25157551.0,2155435.0,53980.0,102904.0,162.03,78.7,76.76,6.58,3140.0,4423.0,0.013,,32776195.0,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1.0,42.4,,1.9,76.16,0.81,,,,
MDV,Asia,Maldives,2021-11-27,91350.0,76.0,107.0,248.0,0.0,0.0,168040.175,139.804,196.829,456.201,0.0,0.0,0.88,,,,,,,,,4300.0,1721088.0,3165.976,7.91,3489.0,6.418,0.032,31.3,samples tested,766159.0,395470.0,362742.0,7947.0,930.0,598.0,140.94,72.75,66.73,1.46,1100.0,39.0,0.007,,543620.0,1454.433,30.6,4.12,2.875,15183.616,,164.905,9.19,2.1,55.0,95.803,,78.92,0.74,,,,
MLI,Africa,Mali,2021-11-27,17300.0,81.0,54.429,603.0,1.0,1.714,829.508,3.884,2.61,28.913,0.048,0.082,1.13,,,,,,,,,,,,,,,,,,734759.0,598437.0,312488.0,,,16209.0,3.52,2.87,1.5,,777.0,20179.0,0.097,44.44,20855724.0,15.196,16.4,2.519,1.486,2014.306,,268.024,2.42,1.6,23.0,52.232,0.1,59.31,0.434,,,,
MLT,Europe,Malta,2021-11-27,39162.0,95.0,82.143,468.0,0.0,0.714,75880.643,184.073,159.161,906.801,0.0,1.384,1.25,2.0,3.875,12.0,23.251,1.003,1.943,6.018,11.66,2563.0,1396567.0,2706.001,4.966,2404.0,4.658,0.032,31.2,tests performed,945882.0,435394.0,431926.0,110676.0,3153.0,3113.0,183.27,84.36,83.69,21.44,6032.0,154.0,0.03,43.52,516100.0,1454.037,42.4,19.426,11.324,36513.323,0.2,168.711,8.83,20.9,30.2,,4.485,82.53,0.895,,,,
MHL,Oceania,Marshall Islands,2021-11-27,4.0,0.0,0.0,,,0.0,67.094,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59618.0,295.15,,,,3819.202,,557.793,30.53,,,82.502,2.7,73.7,0.704,,,,
MRT,Africa,Mauritania,2021-11-27,39115.0,80.0,76.0,831.0,2.0,2.143,8191.434,16.754,15.916,174.027,0.419,0.449,1.1,,,,,,,,,,,,,,,,,,1734046.0,1060233.0,673813.0,,,3185.0,36.31,22.2,14.11,,667.0,2739.0,0.057,52.78,4775110.0,4.289,20.3,3.138,1.792,3597.633,6.0,232.347,2.42,,,15.95,,64.92,0.546,,,,
MUS,Africa,Mauritius,2021-11-27,21040.0,0.0,294.429,240.0,0.0,0.0,16522.332,0.0,231.209,188.468,0.0,0.0,0.42,,,,,,,,,,,,,,,,,,1875132.0,916524.0,914936.0,,35153.0,12836.0,147.25,71.97,71.85,,10080.0,666.0,0.052,47.22,1273428.0,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,,3.4,74.99,0.804,,,,
